epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1554.12,1.0044,0.84519,1.30593,0.90674,0.89935,0.94471,0.70797,0.90125,0.62112,1.22224,0.000581,0.000581,0.000581
45,1588.27,0.98216,0.83849,1.2992,0.93104,0.8961,0.95122,0.68949,0.91337,0.62009,1.23086,0.000548,0.000548,0.000548
46,1623.18,0.98584,0.8249,1.29454,0.93182,0.88754,0.94353,0.70067,0.93449,0.62842,1.24525,0.000515,0.000515,0.000515
47,1658.23,0.9715,0.81763,1.29449,0.92139,0.87532,0.93811,0.69547,0.90441,0.6317,1.226,0.000482,0.000482,0.000482
48,1692.68,0.96821,0.82038,1.29216,0.92051,0.90238,0.93973,0.71369,0.86213,0.60716,1.19259,0.000449,0.000449,0.000449
49,1727.89,0.94813,0.78576,1.28671,0.93255,0.89286,0.9487,0.70963,0.88928,0.5896,1.21278,0.000416,0.000416,0.000416
50,1763.75,0.93323,0.78087,1.26985,0.91758,0.90363,0.94756,0.71427,0.89328,0.58447,1.20801,0.000383,0.000383,0.000383
51,1800.08,0.93996,0.64726,1.30006,0.91522,0.87618,0.93752,0.69431,0.89344,0.64539,1.22316,0.00035,0.00035,0.00035
52,1833.29,0.8892,0.59526,1.27301,0.9337,0.91452,0.94804,0.72576,0.83793,0.56476,1.17935,0.000317,0.000317,0.000317
53,1867.28,0.87146,0.58963,1.25125,0.92794,0.89935,0.95116,0.72764,0.82742,0.56954,1.17465,0.000284,0.000284,0.000284
54,1900.88,0.86077,0.56212,1.23071,0.9305,0.91281,0.95647,0.74157,0.83737,0.56479,1.17312,0.000251,0.000251,0.000251
55,1934.91,0.84979,0.56811,1.23613,0.93985,0.90909,0.95796,0.74085,0.82415,0.5293,1.17242,0.000218,0.000218,0.000218
56,1968.96,0.81664,0.53866,1.21118,0.92126,0.93182,0.95585,0.74169,0.80854,0.53215,1.15545,0.000185,0.000185,0.000185
57,2002.5,0.8252,0.54072,1.2261,0.93553,0.91558,0.96312,0.74529,0.81058,0.52637,1.16657,0.000152,0.000152,0.000152
58,2036.99,0.82217,0.53654,1.22296,0.908,0.92208,0.9613,0.75279,0.80935,0.51967,1.15443,0.000119,0.000119,0.000119
59,2071.48,0.77756,0.50676,1.19184,0.93546,0.92532,0.96359,0.74873,0.80335,0.50978,1.14503,8.6e-05,8.6e-05,8.6e-05
60,2105.75,0.76545,0.50427,1.18465,0.94358,0.92313,0.96711,0.75928,0.79432,0.49499,1.14438,5.3e-05,5.3e-05,5.3e-05
