epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,154.629,0.84402,0.62945,1.23112,0.89256,0.81818,0.83937,0.53528,1.19687,0.8481,1.61011,0.000614,0.000614,0.000614
44,157.487,0.81473,0.64635,1.22223,0.88446,0.63636,0.71858,0.50635,1.19312,1.16773,1.63149,0.000581,0.000581,0.000581
45,160.391,0.82701,0.60071,1.22161,1,0.58133,0.71683,0.508,1.24034,1.17927,1.65716,0.000548,0.000548,0.000548
46,163.351,0.85235,0.57573,1.21651,0.88126,0.67505,0.78893,0.54262,1.16039,0.9976,1.62756,0.000515,0.000515,0.000515
47,166.881,0.79416,0.58788,1.20146,0.99278,0.63636,0.82391,0.60403,1.1245,0.81944,1.64919,0.000482,0.000482,0.000482
48,169.745,0.83585,0.54623,1.23252,0.7738,0.81818,0.81493,0.5912,1.27925,0.90984,1.67383,0.000449,0.000449,0.000449
49,172.658,0.80766,0.55428,1.15678,0.80746,0.72727,0.84942,0.59342,1.26117,0.89167,1.64284,0.000416,0.000416,0.000416
50,175.583,0.79202,0.53952,1.18533,0.76996,0.72727,0.8629,0.62457,1.09216,1.05886,1.48001,0.000383,0.000383,0.000383
51,181.206,0.68312,0.55627,1.18128,0.7611,0.72727,0.78263,0.56832,1.07191,1.14004,1.46114,0.00035,0.00035,0.00035
52,184.998,0.69632,0.51713,1.19861,0.81898,0.63636,0.71161,0.56434,1.04009,1.33626,1.44277,0.000317,0.000317,0.000317
53,187.865,0.6809,0.48617,1.17943,0.84571,0.59091,0.73231,0.57617,1.06238,1.22318,1.48927,0.000284,0.000284,0.000284
54,191.546,0.62804,0.49005,1.15787,0.72852,0.77273,0.78131,0.61913,1.07059,1.06453,1.50363,0.000251,0.000251,0.000251
55,194.38,0.58593,0.39535,1.10011,0.7117,0.81818,0.81229,0.62714,1.05557,0.93418,1.46398,0.000218,0.000218,0.000218
56,197.31,0.57748,0.41483,1.07248,0.83736,0.81818,0.84366,0.64677,1.05129,0.80399,1.441,0.000185,0.000185,0.000185
57,200.229,0.56063,0.40872,1.08713,0.86304,0.85944,0.86328,0.63075,1.0906,0.71425,1.533,0.000152,0.000152,0.000152
58,203.896,0.57451,0.41039,1.09329,0.85845,0.86364,0.83926,0.62581,1.10779,0.69013,1.57124,0.000119,0.000119,0.000119
59,206.921,0.56317,0.40729,1.05631,0.8169,0.86364,0.82308,0.64421,1.06003,0.6655,1.5279,8.6e-05,8.6e-05,8.6e-05
60,209.798,0.57441,0.4057,1.11258,0.81501,0.86364,0.84514,0.65234,1.04824,0.65578,1.51953,5.3e-05,5.3e-05,5.3e-05
